,term,N,N_ordered,N_not_ordered,freq_ordered (of total),N_made,N_not_made,freq_made (of total),freq_made (of ordered),N_crystallised,N_not_crystallised,freq_crystallised (of total),freq_crystallised (of made),N_assayed,N_not_assayed,freq_assayed (of total),freq_assayed (of made)
2770,fortunately,15,2.0,13.0,0.1333,2.0,13.0,0.1333,1.0,0.0,15.0,0.0,0.0,2.0,13.0,0.1333,1.0
2771,prior,87,20.0,67.0,0.2299,16.0,71.0,0.1839,0.8,0.0,87.0,0.0,0.0,16.0,71.0,0.1839,1.0
2772,rate,886,100.0,786.0,0.1129,64.0,822.0,0.0722,0.64,53.0,833.0,0.0598,0.8281,63.0,823.0,0.0711,0.9844
2773,unreasonable,14,2.0,12.0,0.1429,2.0,12.0,0.1429,1.0,0.0,14.0,0.0,0.0,2.0,12.0,0.1429,1.0
2774,expectation,14,2.0,12.0,0.1429,2.0,12.0,0.1429,1.0,0.0,14.0,0.0,0.0,2.0,12.0,0.1429,1.0
2775,pre-curated,14,2.0,12.0,0.1429,2.0,12.0,0.1429,1.0,0.0,14.0,0.0,0.0,2.0,12.0,0.1429,1.0
2776,subsets,24,2.0,22.0,0.0833,2.0,22.0,0.0833,1.0,0.0,24.0,0.0,0.0,2.0,22.0,0.0833,1.0
2777,priority,14,2.0,12.0,0.1429,2.0,12.0,0.1429,1.0,0.0,14.0,0.0,0.0,2.0,12.0,0.1429,1.0
2778,synthesisability,14,2.0,12.0,0.1429,2.0,12.0,0.1429,1.0,0.0,14.0,0.0,0.0,2.0,12.0,0.1429,1.0
2779,novelty,14,2.0,12.0,0.1429,2.0,12.0,0.1429,1.0,0.0,14.0,0.0,0.0,2.0,12.0,0.1429,1.0
2780,diamondx,5,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
2781,mpro-x0967,9,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0
2782,biosolveit,5,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
2783,recore,46,0.0,46.0,0.0,0.0,46.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,46.0,0.0,0.0
2784,choosing,5,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
2785,guarantee,5,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
2786,ftrees,5,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
2787,redocked,5,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
2788,tox,196,28.0,168.0,0.1429,25.0,171.0,0.1276,0.8929,4.0,192.0,0.0204,0.16,25.0,171.0,0.1276,1.0
2789,cps,5,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
2790,emoltox,9,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0
2791,webserver,9,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0
2792,repo,155,19.0,136.0,0.1226,18.0,137.0,0.1161,0.9474,1.0,154.0,0.0065,0.0556,18.0,137.0,0.1161,1.0
2793,volkamerlab,9,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0
2794,covid19-sbapproach,9,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0
2795,167c18e3-3388-4802-bfa0-f8dc23d34258,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
2796,mpro-x1392,5,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
2797,untargeted,5,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
2798,nitrile-containing,5,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
2799,reminiscent,5,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
2800,taunton,5,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
2801,coworkers,6,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0
2802,examplary,5,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
2803,access,214,52.0,162.0,0.243,48.0,166.0,0.2243,0.9231,6.0,208.0,0.028,0.125,48.0,166.0,0.2243,1.0
2804,n1cccc2cn,2,2.0,0.0,1.0,1.0,1.0,0.5,0.5,0.0,2.0,0.0,0.0,1.0,1.0,0.5,1.0
2805,cc12,2,2.0,0.0,1.0,1.0,1.0,0.5,0.5,0.0,2.0,0.0,0.0,1.0,1.0,0.5,1.0
2806,c1ccc1,2,2.0,0.0,1.0,1.0,1.0,0.5,0.5,0.0,2.0,0.0,0.0,1.0,1.0,0.5,1.0
2807,n1c2c,2,2.0,0.0,1.0,1.0,1.0,0.5,0.5,0.0,2.0,0.0,0.0,1.0,1.0,0.5,1.0
2808,c3ccc3,2,2.0,0.0,1.0,1.0,1.0,0.5,0.5,0.0,2.0,0.0,0.0,1.0,1.0,0.5,1.0
2809,ccc1,257,2.0,255.0,0.0078,1.0,256.0,0.0039,0.5,0.0,257.0,0.0,0.0,1.0,256.0,0.0039,1.0
2810,n1ccoc2c,2,2.0,0.0,1.0,1.0,1.0,0.5,0.5,0.0,2.0,0.0,0.0,1.0,1.0,0.5,1.0
2811,c1c,1231,8.0,1223.0,0.0065,7.0,1224.0,0.0057,0.875,2.0,1229.0,0.0016,0.2857,7.0,1224.0,0.0057,1.0
2812,cc1cc1,2,2.0,0.0,1.0,1.0,1.0,0.5,0.5,0.0,2.0,0.0,0.0,1.0,1.0,0.5,1.0
2813,suitability,8,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0
2814,mapping,55,6.0,49.0,0.1091,2.0,53.0,0.0364,0.3333,0.0,55.0,0.0,0.0,2.0,53.0,0.0364,1.0
2815,subfragments,28,2.0,26.0,0.0714,1.0,27.0,0.0357,0.5,0.0,28.0,0.0,0.0,1.0,27.0,0.0357,1.0
2816,a77636,75,0.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,75.0,0.0,0.0
2817,-12,99,4.0,95.0,0.0404,1.0,98.0,0.0101,0.25,0.0,99.0,0.0,0.0,1.0,98.0,0.0101,1.0
2818,alpha-ketoamide,24,4.0,20.0,0.1667,3.0,21.0,0.125,0.75,0.0,24.0,0.0,0.0,3.0,21.0,0.125,1.0
2819,6y2f,108,20.0,88.0,0.1852,20.0,88.0,0.1852,1.0,0.0,108.0,0.0,0.0,20.0,88.0,0.1852,1.0
2820,lead-optimization,17,0.0,17.0,0.0,0.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0
2821,alpha-ketoamides,17,0.0,17.0,0.0,0.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0
2822,inhibiting,20,0.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0
2823,calpain2,17,0.0,17.0,0.0,0.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0
2824,soc,67,11.0,56.0,0.1642,10.0,57.0,0.1493,0.9091,0.0,67.0,0.0,0.0,10.0,57.0,0.1493,1.0
2825,jacs,17,0.0,17.0,0.0,0.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0
2826,7b08938,17,0.0,17.0,0.0,0.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0
2827,achieve,17,0.0,17.0,0.0,0.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0
2828,mimic,109,17.0,92.0,0.156,10.0,99.0,0.0917,0.5882,3.0,106.0,0.0275,0.3,10.0,99.0,0.0917,1.0
2829,map-based,17,0.0,17.0,0.0,0.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0
2830,jcim,17,0.0,17.0,0.0,0.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0
2831,8b00959,17,0.0,17.0,0.0,0.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0
2832,demo,55,0.0,55.0,0.0,0.0,55.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,55.0,0.0,0.0
2833,silcsbio,17,0.0,17.0,0.0,0.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0
2834,cov2,11,0.0,11.0,0.0,0.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0
2835,native,110,37.0,73.0,0.3364,11.0,99.0,0.1,0.2973,0.0,110.0,0.0,0.0,11.0,99.0,0.1,1.0
2836,stabilize,9,1.0,8.0,0.1111,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0
2837,intermediates,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
2838,non-native,5,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
2839,cavities,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
2840,stabilizing,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
2841,akin,157,12.0,145.0,0.0764,8.0,149.0,0.051,0.6667,1.0,156.0,0.0064,0.125,8.0,149.0,0.051,1.0
2842,allosteric,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
2843,structured,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
2844,proteolytic,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
2845,degradation,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
2846,aggregation,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
2847,harder,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
2848,resistance,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
2849,nonnative,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
2850,involve,37,14.0,23.0,0.3784,14.0,23.0,0.3784,1.0,0.0,37.0,0.0,0.0,14.0,23.0,0.3784,1.0
2851,state--thus,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
2852,mutation,23,1.0,22.0,0.0435,1.0,22.0,0.0435,1.0,0.0,23.0,0.0,0.0,1.0,22.0,0.0435,1.0
2853,detrimental,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
2854,subunit,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
2855,n-terminal,43,0.0,43.0,0.0,0.0,43.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,43.0,0.0,0.0
2856,assumptions,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
2857,fold,730,195.0,535.0,0.2671,162.0,568.0,0.2219,0.8308,12.0,718.0,0.0164,0.0741,162.0,568.0,0.2219,1.0
2858,precedes,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
2859,apply,9,5.0,4.0,0.5556,5.0,4.0,0.5556,1.0,0.0,9.0,0.0,0.0,5.0,4.0,0.5556,1.0
2860,atomistic,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
2861,accounting,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
2862,opengrowth,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
2863,sub-micromolar,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
2864,snapshots,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
2865,assigned,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
2866,alphaspace,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
2867,larger,104,2.0,102.0,0.0192,0.0,104.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,104.0,0.0,0.0
2868,-oh,36,1.0,35.0,0.0278,1.0,35.0,0.0278,1.0,0.0,36.0,0.0,0.0,1.0,35.0,0.0278,1.0
2869,meta,156,69.0,87.0,0.4423,22.0,134.0,0.141,0.3188,3.0,153.0,0.0192,0.1364,22.0,134.0,0.141,1.0
2870,intermed,32,19.0,13.0,0.5938,13.0,19.0,0.4062,0.6842,0.0,32.0,0.0,0.0,13.0,19.0,0.4062,1.0
2871,resembled,2,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
2872,quinine,2,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
2873,physiochemical,3,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
2874,pharmacologically,5,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
2875,halogens,5,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
2876,phosphorylation,5,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
2877,in-vivo,5,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
2878,dysfunction,5,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
2879,nitrogenous,5,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
2880,affecting,6,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0
2881,component,9,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0
2882,spans,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
2883,c-c,10,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0
2884,individual,79,10.0,69.0,0.1266,10.0,69.0,0.1266,1.0,4.0,75.0,0.0506,0.4,10.0,69.0,0.1266,1.0
2885,hilgenfeld,17,0.0,17.0,0.0,0.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0
2886,dzif,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2887,germany,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2888,carboxy,231,8.0,223.0,0.0346,6.0,225.0,0.026,0.75,1.0,230.0,0.0043,0.1667,6.0,225.0,0.026,1.0
2889,exhibiting,41,0.0,41.0,0.0,0.0,41.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,41.0,0.0,0.0
2890,fragmnet,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2891,x0708,58,0.0,58.0,0.0,0.0,58.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,58.0,0.0,0.0
2892,reagents,80,1.0,79.0,0.0125,0.0,80.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,80.0,0.0,0.0
2893,fragemnet,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2894,lietraure,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2895,biological,27,0.0,27.0,0.0,0.0,27.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,27.0,0.0,0.0
2896,merger,105,0.0,105.0,0.0,0.0,105.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,105.0,0.0,0.0
2897,066c4001-b6a3-47b7-83a4-5e7933997959,6,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0
2898,cys300,6,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0
2899,icm,18,0.0,18.0,0.0,0.0,18.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,18.0,0.0,0.0
2900,molsoft,6,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0
2901,llc,6,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0
2902,predictor,68,0.0,68.0,0.0,0.0,68.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,68.0,0.0,0.0
2903,proposal,27,8.0,19.0,0.2963,8.0,19.0,0.2963,1.0,0.0,27.0,0.0,0.0,8.0,19.0,0.2963,1.0
2904,x1086,7,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0
2905,covdock,25,12.0,13.0,0.48,12.0,13.0,0.48,1.0,0.0,25.0,0.0,0.0,12.0,13.0,0.48,1.0
2906,p-p,103,17.0,86.0,0.165,6.0,97.0,0.0583,0.3529,1.0,102.0,0.0097,0.1667,6.0,97.0,0.0583,1.0
2907,5-membered,10,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0
2908,cyclopropane,6,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0
2909,journals,6,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0
2910,plos,19,13.0,6.0,0.6842,11.0,8.0,0.5789,0.8462,0.0,19.0,0.0,0.0,11.0,8.0,0.5789,1.0
2911,plosntds,6,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0
2912,pntd,6,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0
2913,mak-unk-b2c-4,17,0.0,17.0,0.0,0.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0
2914,quantum-based,23,2.0,21.0,0.087,0.0,23.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,23.0,0.0,0.0
2915,builder,23,2.0,21.0,0.087,0.0,23.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,23.0,0.0,0.0
2916,qsb,23,2.0,21.0,0.087,0.0,23.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,23.0,0.0,0.0
2917,module,23,2.0,21.0,0.087,0.0,23.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,23.0,0.0,0.0
2918,pharmacophore-based,23,2.0,21.0,0.087,0.0,23.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,23.0,0.0,0.0
2919,probes,24,2.0,22.0,0.0833,0.0,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,0.0,0.0
2920,subprogram,23,2.0,21.0,0.087,0.0,23.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,23.0,0.0,0.0
2921,step-by-step,23,2.0,21.0,0.087,0.0,23.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,23.0,0.0,0.0
2922,5rey,10,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0
2923,5ren,10,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0
2924,5rfg,10,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0
2925,crystals,10,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0
2926,libraries,30,5.0,25.0,0.1667,3.0,27.0,0.1,0.6,1.0,29.0,0.0333,0.3333,3.0,27.0,0.1,1.0
2927,fragmentation,23,2.0,21.0,0.087,0.0,23.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,23.0,0.0,0.0
2928,10k,43,2.0,41.0,0.0465,0.0,43.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,43.0,0.0,0.0
2929,stages,23,2.0,21.0,0.087,0.0,23.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,23.0,0.0,0.0
2930,completed,617,2.0,615.0,0.0032,0.0,617.0,0.0,0.0,0.0,617.0,0.0,0.0,0.0,617.0,0.0,0.0
2931,consecutive,23,2.0,21.0,0.087,0.0,23.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,23.0,0.0,0.0
2932,retained,23,2.0,21.0,0.087,0.0,23.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,23.0,0.0,0.0
2933,ingredients,13,0.0,13.0,0.0,0.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0
2934,alternate,17,2.0,15.0,0.1176,0.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0
2935,stereocentre,2,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
2936,predictable,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2937,racemate,8,4.0,4.0,0.5,3.0,5.0,0.375,0.75,0.0,8.0,0.0,0.0,3.0,5.0,0.375,1.0
2938,adjustments,14,4.0,10.0,0.2857,3.0,11.0,0.2143,0.75,0.0,14.0,0.0,0.0,3.0,11.0,0.2143,1.0
2939,chloroacetoamide,14,4.0,10.0,0.2857,3.0,11.0,0.2143,0.75,0.0,14.0,0.0,0.0,3.0,11.0,0.2143,1.0
2940,forum,62,9.0,53.0,0.1452,8.0,54.0,0.129,0.8889,0.0,62.0,0.0,0.0,8.0,54.0,0.129,1.0
2941,duckcov,19,12.0,7.0,0.6316,12.0,7.0,0.6316,1.0,0.0,19.0,0.0,0.0,12.0,7.0,0.6316,1.0
2942,cmdc,19,12.0,7.0,0.6316,12.0,7.0,0.6316,1.0,0.0,19.0,0.0,0.0,12.0,7.0,0.6316,1.0
2943,platform,38,12.0,26.0,0.3158,12.0,26.0,0.3158,1.0,0.0,38.0,0.0,0.0,12.0,26.0,0.3158,1.0
2944,covdock-lo,19,12.0,7.0,0.6316,12.0,7.0,0.6316,1.0,0.0,19.0,0.0,0.0,12.0,7.0,0.6316,1.0
2945,schrödinger,19,12.0,7.0,0.6316,12.0,7.0,0.6316,1.0,0.0,19.0,0.0,0.0,12.0,7.0,0.6316,1.0
2946,ci500118s,19,12.0,7.0,0.6316,12.0,7.0,0.6316,1.0,0.0,19.0,0.0,0.0,12.0,7.0,0.6316,1.0
2947,obtain,174,54.0,120.0,0.3103,47.0,127.0,0.2701,0.8704,2.0,172.0,0.0115,0.0426,47.0,127.0,0.2701,1.0
2948,450k,19,12.0,7.0,0.6316,12.0,7.0,0.6316,1.0,0.0,19.0,0.0,0.0,12.0,7.0,0.6316,1.0
2949,compiled,19,12.0,7.0,0.6316,12.0,7.0,0.6316,1.0,0.0,19.0,0.0,0.0,12.0,7.0,0.6316,1.0
2950,ifp,19,12.0,7.0,0.6316,12.0,7.0,0.6316,1.0,0.0,19.0,0.0,0.0,12.0,7.0,0.6316,1.0
2951,highlighted,19,12.0,7.0,0.6316,12.0,7.0,0.6316,1.0,0.0,19.0,0.0,0.0,12.0,7.0,0.6316,1.0
2952,recurring,19,12.0,7.0,0.6316,12.0,7.0,0.6316,1.0,0.0,19.0,0.0,0.0,12.0,7.0,0.6316,1.0
2953,ph4,19,12.0,7.0,0.6316,12.0,7.0,0.6316,1.0,0.0,19.0,0.0,0.0,12.0,7.0,0.6316,1.0
2954,e166-o,19,12.0,7.0,0.6316,12.0,7.0,0.6316,1.0,0.0,19.0,0.0,0.0,12.0,7.0,0.6316,1.0
2955,e166-n,19,12.0,7.0,0.6316,12.0,7.0,0.6316,1.0,0.0,19.0,0.0,0.0,12.0,7.0,0.6316,1.0
2956,h163-ne2,19,12.0,7.0,0.6316,12.0,7.0,0.6316,1.0,0.0,19.0,0.0,0.0,12.0,7.0,0.6316,1.0
2957,frequent,20,12.0,8.0,0.6,12.0,8.0,0.6,1.0,0.0,20.0,0.0,0.0,12.0,8.0,0.6,1.0
2958,mandatory,19,12.0,7.0,0.6316,12.0,7.0,0.6316,1.0,0.0,19.0,0.0,0.0,12.0,7.0,0.6316,1.0
2959,tethered,43,12.0,31.0,0.2791,12.0,31.0,0.2791,1.0,0.0,43.0,0.0,0.0,12.0,31.0,0.2791,1.0
2960,htvs,19,12.0,7.0,0.6316,12.0,7.0,0.6316,1.0,0.0,19.0,0.0,0.0,12.0,7.0,0.6316,1.0
2961,translational,19,12.0,7.0,0.6316,12.0,7.0,0.6316,1.0,0.0,19.0,0.0,0.0,12.0,7.0,0.6316,1.0
2962,extent,19,12.0,7.0,0.6316,12.0,7.0,0.6316,1.0,0.0,19.0,0.0,0.0,12.0,7.0,0.6316,1.0
2963,dynamic,23,12.0,11.0,0.5217,12.0,11.0,0.5217,1.0,0.0,23.0,0.0,0.0,12.0,11.0,0.5217,1.0
2964,undocking,19,12.0,7.0,0.6316,12.0,7.0,0.6316,1.0,0.0,19.0,0.0,0.0,12.0,7.0,0.6316,1.0
